swh_blue,1,5,2,3,1,4,1,1,1,4,7,2,5,4,3,1,2,2,1,5,3,3,2,3,4,2,1,2,7,0,1,1,3,5,2,3,2,4,1,2,4,2,1,0,4,1,3,3,2,5,3,5,1,3,4,3,3,6,4,3,4,4
swh_lightblue,8,9,7,7,4,7,3,4,5,6,8,4,4,5,6,6,5,8,6,6,6,7,5,4,6,2,6,8,8,2,4,4,3,7,8,6,4,6,6,5,7,6,5,5,6,6,5,4,7,11,11,13,8,6,5,8,3,12,8,8,8,10
swh_green,12,10,13,9,9,11,4,6,8,8,9,9,5,7,7,7,9,12,7,8,11,12,10,8,10,6,8,11,8,9,6,6,7,10,9,12,9,14,12,7,10,10,6,10,9,14,7,9,10,13,13,12,12,8,9,9,5,10,11,12,13,11
swh_yellow,6,7,7,7,4,7,3,4,4,3,5,3,1,3,7,3,3,4,4,6,5,8,6,3,8,1,4,5,5,2,3,3,5,6,8,6,5,6,9,5,11,7,4,4,6,1,6,3,8,6,6,8,3,5,5,6,3,6,5,7,9,9
swh_red,11,10,9,10,8,9,3,4,4,7,8,6,4,6,9,11,7,10,6,8,11,9,8,7,10,6,6,10,6,7,6,9,6,10,9,10,7,11,13,7,10,7,5,11,9,11,9,7,9,11,9,11,10,7,7,8,5,12,7,10,13,12
